order_id,created_at,currency_code,receipt_number,total_gross,total_tax,total_net,payment_method,paid_amount,customer_id
20,2024-01-08 06:00:19,USD,RCPT000020,173.42294840917774,17.34,156.08,Credit Card,173.42294840917774,904
21,2024-06-16 02:07:55,USD,RCPT000021,135.80706481958532,13.58,122.23,Paypal,135.80706481958532,4000
22,2024-01-23 07:38:42,USD,RCPT000022,98.54788710350383,9.85,88.7,Credit Card,98.54788710350383,873
23,2024-08-16 01:29:05,USD,RCPT000023,133.8556445291016,13.39,120.47,Bitcoin,133.8556445291016,877
24,2024-03-01 20:15:32,USD,RCPT000024,142.2158362018639,14.22,128.0,Credit Card,142.2158362018639,557
25,2024-05-04 07:49:19,USD,RCPT000025,66.32647418096548,6.63,59.7,Paypal,66.32647418096548,4808
26,2024-06-07 15:41:29,USD,RCPT000026,29.402402140653322,2.94,26.46,Paypal,29.402402140653322,120
27,2024-07-02 08:06:40,USD,RCPT000027,140.04046811869455,14.0,126.04,Credit Card,140.04046811869455,3362
28,2023-10-08 19:26:52,USD,RCPT000028,30.0296787639776,3.0,27.03,Bitcoin,30.0296787639776,4445
29,2024-07-20 22:53:34,USD,RCPT000029,145.79753114508762,14.58,131.22,Credit Card,145.79753114508762,651
30,2024-09-07 09:31:04,USD,RCPT000030,56.135273114138585,5.61,50.53,Bitcoin,56.135273114138585,143
31,2023-12-06 14:16:50,USD,RCPT000031,53.71669253056849,5.37,48.35,Credit Card,53.71669253056849,3765
32,2023-11-17 01:19:56,USD,RCPT000032,124.29771449231053,12.43,111.87,Bitcoin,124.29771449231053,1271
33,2024-08-21 19:39:22,USD,RCPT000033,150.14537919643186,15.01,135.14,Credit Card,150.14537919643186,1364
34,2024-06-16 10:06:40,USD,RCPT000034,84.30140330673781,8.43,75.87,Credit Card,84.30140330673781,606
35,2024-07-19 02:05:01,USD,RCPT000035,165.26952189489285,16.53,148.74,Bitcoin,165.26952189489285,5216
36,2024-06-28 05:46:48,USD,RCPT000036,161.5487613119184,16.15,145.4,Bitcoin,161.5487613119184,1344
37,2023-09-21 03:07:44,USD,RCPT000037,97.49892187094953,9.75,87.75,Bitcoin,97.49892187094953,4745
38,2024-07-04 07:46:00,USD,RCPT000038,89.76281358618168,8.98,80.78,Credit Card,89.76281358618168,5031
39,2024-03-25 11:37:39,USD,RCPT000039,39.244100531117304,3.92,35.32,Bitcoin,39.244100531117304,3701
40,2024-07-05 12:58:59,USD,RCPT000040,116.57928450785397,11.66,104.92,Paypal,116.57928450785397,3113
41,2024-05-18 18:04:20,USD,RCPT000041,153.7631242825593,15.38,138.38,Bitcoin,153.7631242825593,3203
42,2024-08-03 02:10:33,USD,RCPT000042,157.0805250060318,15.71,141.37,Paypal,157.0805250060318,5047
43,2024-07-17 14:17:59,USD,RCPT000043,104.98132128812215,10.5,94.48,Paypal,104.98132128812215,960
44,2024-03-07 06:40:07,USD,RCPT000044,196.5282444870408,19.65,176.88,Credit Card,196.5282444870408,5182
45,2024-01-26 22:37:45,USD,RCPT000045,48.21472723282594,4.82,43.39,Bitcoin,48.21472723282594,4439
46,2023-11-25 18:19:05,USD,RCPT000046,68.5690531225319,6.86,61.71,Bitcoin,68.5690531225319,1767
47,2024-05-16 23:16:01,USD,RCPT000047,165.08810201340856,16.51,148.58,Paypal,165.08810201340856,4868
48,2024-08-27 11:49:47,USD,RCPT000048,85.3720136374011,8.54,76.83,Bitcoin,85.3720136374011,2728
49,2024-02-25 20:28:02,USD,RCPT000049,102.18645859255913,10.22,91.97,Paypal,102.18645859255913,4689
50,2023-12-27 11:01:13,USD,RCPT000050,51.04544349207772,5.1,45.95,Paypal,51.04544349207772,2656
51,2023-11-04 18:37:24,USD,RCPT000051,179.34393570311252,17.93,161.41,Credit Card,179.34393570311252,4111
52,2023-11-10 10:58:04,USD,RCPT000052,188.55476836488108,18.86,169.69,Credit Card,188.55476836488108,3022
53,2024-03-06 10:00:08,USD,RCPT000053,120.3023434544324,12.03,108.27,Bitcoin,120.3023434544324,1278
54,2023-10-31 18:15:17,USD,RCPT000054,144.3212692007097,14.43,129.89,Bitcoin,144.3212692007097,4797
55,2024-09-02 07:25:20,USD,RCPT000055,79.99533244826326,8.0,72.0,Paypal,79.99533244826326,1337
56,2024-04-12 11:33:47,USD,RCPT000056,75.89099343631867,7.59,68.3,Bitcoin,75.89099343631867,2073
57,2023-12-13 06:00:08,USD,RCPT000057,63.01525459841933,6.3,56.72,Paypal,63.01525459841933,2616
58,2024-07-27 03:43:56,USD,RCPT000058,21.35508750279797,2.14,19.22,Paypal,21.35508750279797,229
59,2024-02-12 23:55:39,USD,RCPT000059,141.89559859868973,14.19,127.71,Bitcoin,141.89559859868973,5047
60,2024-02-14 15:58:45,USD,RCPT000060,140.70021157637936,14.07,126.63,Paypal,140.70021157637936,3940
61,2024-08-05 01:51:24,USD,RCPT000061,20.20096682901582,2.02,18.18,Credit Card,20.20096682901582,2650
62,2024-04-30 09:05:39,USD,RCPT000062,168.382563922446,16.84,151.54,Paypal,168.382563922446,245
63,2023-12-31 22:21:01,USD,RCPT000063,85.3886745176742,8.54,76.85,Bitcoin,85.3886745176742,819
64,2024-05-19 02:02:24,USD,RCPT000064,38.17327184311337,3.82,34.35,Credit Card,38.17327184311337,1817
65,2024-05-17 01:25:00,USD,RCPT000065,90.72074920368149,9.07,81.65,Bitcoin,90.72074920368149,700
66,2024-07-07 03:57:24,USD,RCPT000066,95.78578516263849,9.58,86.21,Bitcoin,95.78578516263849,3629
67,2023-12-03 18:26:20,USD,RCPT000067,43.76527116040087,4.38,39.39,Bitcoin,43.76527116040087,1335
68,2024-05-07 12:52:47,USD,RCPT000068,172.27739434148742,17.23,155.05,Paypal,172.27739434148742,4831
69,2024-04-04 18:31:21,USD,RCPT000069,85.79607969091316,8.58,77.22,Bitcoin,85.79607969091316,2768
70,2024-03-18 08:47:52,USD,RCPT000070,179.04439377524588,17.9,161.14,Paypal,179.04439377524588,5137
71,2024-09-07 18:54:33,USD,RCPT000071,57.4602448887825,5.75,51.71,Bitcoin,57.4602448887825,2668
72,2024-05-01 16:36:49,USD,RCPT000072,172.66863594678526,17.27,155.4,Paypal,172.66863594678526,2780
73,2024-03-03 07:22:20,USD,RCPT000073,38.48899309137707,3.85,34.64,Bitcoin,38.48899309137707,651
74,2023-11-28 00:09:27,USD,RCPT000074,80.86120011391513,8.09,72.77,Paypal,80.86120011391513,345
75,2024-06-28 22:50:34,USD,RCPT000075,136.78246728859122,13.68,123.1,Credit Card,136.78246728859122,1565
76,2024-05-11 05:06:56,USD,RCPT000076,199.93156653146016,19.99,179.94,Paypal,199.93156653146016,1953
77,2023-11-16 00:00:29,USD,RCPT000077,72.67947180152446,7.27,65.41,Paypal,72.67947180152446,2334
78,2024-03-13 01:49:56,USD,RCPT000078,138.17408652553982,13.82,124.35,Paypal,138.17408652553982,5018
79,2024-07-18 10:35:40,USD,RCPT000079,86.77584031105617,8.68,78.1,Credit Card,86.77584031105617,757
80,2024-05-19 13:37:58,USD,RCPT000080,26.945952957764174,2.69,24.26,Bitcoin,26.945952957764174,547
81,2024-06-17 14:05:40,USD,RCPT000081,86.22856497797616,8.62,77.61,Bitcoin,86.22856497797616,1392
82,2023-10-15 02:11:50,USD,RCPT000082,25.022293977843376,2.5,22.52,Bitcoin,25.022293977843376,4640
83,2023-09-18 15:20:19,USD,RCPT000083,80.28325106482555,8.03,72.25,Credit Card,80.28325106482555,3470
84,2024-03-29 10:21:26,USD,RCPT000084,161.7813303761057,16.18,145.6,Bitcoin,161.7813303761057,2946
85,2023-10-30 13:58:33,USD,RCPT000085,36.593334809843384,3.66,32.93,Credit Card,36.593334809843384,4276
86,2023-11-17 02:10:13,USD,RCPT000086,21.924924491173748,2.19,19.73,Bitcoin,21.924924491173748,4853
87,2023-12-07 20:51:46,USD,RCPT000087,151.2686097061204,15.13,136.14,Paypal,151.2686097061204,1183
88,2023-12-15 20:48:10,USD,RCPT000088,82.59932998887032,8.26,74.34,Paypal,82.59932998887032,1382
89,2023-10-10 01:39:20,USD,RCPT000089,171.93696880864474,17.19,154.75,Paypal,171.93696880864474,2462
90,2024-05-06 14:35:13,USD,RCPT000090,35.52508773550061,3.55,31.98,Credit Card,35.52508773550061,574
91,2024-02-25 19:02:00,USD,RCPT000091,181.25508476338908,18.13,163.13,Bitcoin,181.25508476338908,2256
92,2024-01-08 16:41:07,USD,RCPT000092,152.0091104597554,15.2,136.81,Paypal,152.0091104597554,3160
93,2024-02-07 21:37:56,USD,RCPT000093,134.42359844385237,13.44,120.98,Credit Card,134.42359844385237,3152
94,2024-02-14 12:16:00,USD,RCPT000094,172.78779881837366,17.28,155.51,Bitcoin,172.78779881837366,4846
95,2023-12-02 02:08:44,USD,RCPT000095,139.41423983169096,13.94,125.47,Credit Card,139.41423983169096,2123
96,2024-07-25 07:58:57,USD,RCPT000096,95.0002488028253,9.5,85.5,Credit Card,95.0002488028253,50
97,2023-11-14 13:02:23,USD,RCPT000097,157.30923018419531,15.73,141.58,Bitcoin,157.30923018419531,1571
98,2024-07-30 06:35:30,USD,RCPT000098,121.73698301150839,12.17,109.57,Credit Card,121.73698301150839,208
99,2023-12-10 04:25:13,USD,RCPT000099,148.79213454754859,14.88,133.91,Credit Card,148.79213454754859,4897
100,2024-08-19 22:48:59,USD,RCPT000100,167.2564096947954,16.73,150.53,Paypal,167.2564096947954,3961
101,2023-10-24 02:13:39,USD,RCPT000101,89.04206365182714,8.9,80.14,Paypal,89.04206365182714,3101
102,2023-10-05 02:33:52,USD,RCPT000102,30.92284958284788,3.09,27.83,Credit Card,30.92284958284788,3203
103,2024-01-13 19:17:47,USD,RCPT000103,122.11518837800891,12.21,109.91,Bitcoin,122.11518837800891,3911
104,2024-08-15 19:17:56,USD,RCPT000104,108.21933369148452,10.82,97.4,Paypal,108.21933369148452,3447
105,2024-05-30 02:15:50,USD,RCPT000105,140.97778396338202,14.1,126.88,Paypal,140.97778396338202,4385
106,2023-09-17 15:44:43,USD,RCPT000106,115.95791798292684,11.6,104.36,Paypal,115.95791798292684,2660
107,2024-05-27 03:35:08,USD,RCPT000107,119.00811477214644,11.9,107.11,Paypal,119.00811477214644,4870
108,2024-09-08 02:15:01,USD,RCPT000108,198.23563484828477,19.82,178.42,Paypal,198.23563484828477,3592
109,2023-11-24 21:54:26,USD,RCPT000109,112.88616283170542,11.29,101.6,Bitcoin,112.88616283170542,1539
110,2023-10-05 15:15:34,USD,RCPT000110,145.01512149095464,14.5,130.52,Bitcoin,145.01512149095464,2743
111,2024-07-22 07:21:10,USD,RCPT000111,64.61984494490761,6.46,58.16,Paypal,64.61984494490761,2821
112,2023-10-15 17:59:54,USD,RCPT000112,30.772488670190818,3.08,27.69,Credit Card,30.772488670190818,4348
113,2024-03-06 22:18:57,USD,RCPT000113,149.10937399625251,14.91,134.2,Credit Card,149.10937399625251,98
114,2024-08-12 03:16:08,USD,RCPT000114,40.49006517057158,4.05,36.44,Paypal,40.49006517057158,4778
115,2024-01-17 09:32:12,USD,RCPT000115,178.12881151168486,17.81,160.32,Paypal,178.12881151168486,345
116,2023-10-16 23:14:25,USD,RCPT000116,190.3742404049338,19.04,171.33,Bitcoin,190.3742404049338,1686
117,2023-10-30 11:34:19,USD,RCPT000117,140.1022306917659,14.01,126.09,Paypal,140.1022306917659,1318
118,2024-07-10 17:29:31,USD,RCPT000118,153.43376260283296,15.34,138.09,Credit Card,153.43376260283296,2121
119,2024-08-22 10:46:58,USD,RCPT000119,151.44349541583338,15.14,136.3,Credit Card,151.44349541583338,2849
120,2024-04-16 06:56:22,USD,RCPT000120,100.41316280735181,10.04,90.37,Credit Card,100.41316280735181,4874
121,2024-04-25 16:43:38,USD,RCPT000121,125.62553089818759,12.56,113.07,Bitcoin,125.62553089818759,5138
122,2024-05-19 04:33:06,USD,RCPT000122,143.29585293878793,14.33,128.97,Paypal,143.29585293878793,3226
123,2024-05-13 10:47:03,USD,RCPT000123,146.9779811077055,14.7,132.28,Credit Card,146.9779811077055,2618
124,2024-07-08 12:59:37,USD,RCPT000124,78.08675282663927,7.81,70.28,Bitcoin,78.08675282663927,2597
125,2024-06-25 17:26:19,USD,RCPT000125,195.8438328408298,19.58,176.26,Credit Card,195.8438328408298,1435
126,2023-12-01 20:51:21,USD,RCPT000126,190.2004472297136,19.02,171.18,Paypal,190.2004472297136,5056
127,2024-05-24 15:07:38,USD,RCPT000127,75.96132848639118,7.6,68.36,Bitcoin,75.96132848639118,2553
128,2024-05-21 01:39:53,USD,RCPT000128,41.2909632835576,4.13,37.16,Bitcoin,41.2909632835576,3355
129,2023-12-28 09:47:26,USD,RCPT000129,111.53200415366655,11.15,100.38,Credit Card,111.53200415366655,2738
130,2024-07-02 03:01:53,USD,RCPT000130,38.61775261743237,3.86,34.76,Bitcoin,38.61775261743237,1717
131,2023-11-11 19:01:25,USD,RCPT000131,199.12040870228302,19.91,179.21,Bitcoin,199.12040870228302,2027
132,2024-02-17 07:57:54,USD,RCPT000132,185.28864069055805,18.53,166.76,Credit Card,185.28864069055805,1290
133,2024-01-04 01:56:05,USD,RCPT000133,61.078645108514834,6.11,54.97,Bitcoin,61.078645108514834,15
134,2023-12-17 07:36:47,USD,RCPT000134,169.27547323609548,16.93,152.35,Bitcoin,169.27547323609548,276
135,2023-11-23 22:45:49,USD,RCPT000135,127.53641235522466,12.75,114.79,Bitcoin,127.53641235522466,4632
136,2024-04-25 01:33:41,USD,RCPT000136,36.592210900254145,3.66,32.93,Paypal,36.592210900254145,782
137,2024-07-23 09:30:47,USD,RCPT000137,102.85202839851667,10.29,92.56,Paypal,102.85202839851667,4980
138,2024-08-19 09:03:07,USD,RCPT000138,73.2207375770904,7.32,65.9,Credit Card,73.2207375770904,5120
139,2024-02-10 03:18:45,USD,RCPT000139,176.878043712287,17.69,159.19,Bitcoin,176.878043712287,577
140,2023-10-30 03:55:21,USD,RCPT000140,29.54167705890018,2.95,26.59,Credit Card,29.54167705890018,2137
141,2024-02-29 13:50:42,USD,RCPT000141,68.9165787499949,6.89,62.03,Bitcoin,68.9165787499949,4891
142,2023-09-22 14:06:37,USD,RCPT000142,99.04793939002892,9.9,89.15,Bitcoin,99.04793939002892,2665
143,2024-04-05 14:26:25,USD,RCPT000143,104.50105755165832,10.45,94.05,Credit Card,104.50105755165832,5045
144,2024-05-29 00:48:36,USD,RCPT000144,89.30720169647547,8.93,80.38,Paypal,89.30720169647547,1808
145,2024-03-26 01:14:05,USD,RCPT000145,145.83751489742616,14.58,131.26,Bitcoin,145.83751489742616,3473
146,2024-05-30 04:12:23,USD,RCPT000146,55.91373920581528,5.59,50.32,Bitcoin,55.91373920581528,4960
147,2023-11-04 12:39:12,USD,RCPT000147,68.0325047289185,6.8,61.23,Bitcoin,68.0325047289185,1209
148,2023-10-23 17:20:21,USD,RCPT000148,38.32625581594992,3.83,34.5,Credit Card,38.32625581594992,2804
149,2024-02-28 01:22:41,USD,RCPT000149,98.81927184717976,9.88,88.94,Bitcoin,98.81927184717976,99
150,2023-12-01 21:34:30,USD,RCPT000150,66.40894680219492,6.64,59.77,Paypal,66.40894680219492,4522
151,2024-03-25 12:02:00,USD,RCPT000151,177.3145578640389,17.73,159.58,Credit Card,177.3145578640389,1521
152,2023-09-26 01:02:48,USD,RCPT000152,152.39740131313843,15.24,137.16,Credit Card,152.39740131313843,2187
153,2023-10-09 13:25:00,USD,RCPT000153,122.06795832713964,12.21,109.86,Paypal,122.06795832713964,846
154,2023-12-20 01:29:17,USD,RCPT000154,134.72208131016987,13.47,121.25,Paypal,134.72208131016987,199
155,2024-04-05 22:57:25,USD,RCPT000155,70.29595616406326,7.03,63.27,Bitcoin,70.29595616406326,3001
156,2024-09-03 18:28:40,USD,RCPT000156,136.95094895244154,13.7,123.25,Bitcoin,136.95094895244154,3316
157,2024-03-04 18:29:05,USD,RCPT000157,117.43635467188786,11.74,105.7,Paypal,117.43635467188786,4811
158,2024-06-02 03:28:47,USD,RCPT000158,45.92374218272328,4.59,41.33,Paypal,45.92374218272328,2519
159,2024-07-31 15:21:19,USD,RCPT000159,32.491804545087305,3.25,29.24,Paypal,32.491804545087305,2557
160,2024-01-05 00:16:57,USD,RCPT000160,20.20993392473368,2.02,18.19,Paypal,20.20993392473368,1365
161,2024-04-04 12:36:15,USD,RCPT000161,32.818186935819405,3.28,29.54,Paypal,32.818186935819405,1008
162,2024-02-12 05:52:02,USD,RCPT000162,129.465674570968,12.95,116.52,Paypal,129.465674570968,4344
163,2024-06-24 05:23:29,USD,RCPT000163,134.76265013329325,13.48,121.28,Paypal,134.76265013329325,3968
164,2024-02-08 16:56:10,USD,RCPT000164,88.0178482404949,8.8,79.22,Credit Card,88.0178482404949,2264
165,2024-07-21 16:03:10,USD,RCPT000165,48.3459800991232,4.83,43.52,Paypal,48.3459800991232,4366
166,2024-04-05 09:28:40,USD,RCPT000166,72.45718331044671,7.25,65.21,Bitcoin,72.45718331044671,3843
167,2023-10-14 11:38:55,USD,RCPT000167,123.7126537675268,12.37,111.34,Bitcoin,123.7126537675268,4952
168,2024-06-09 20:10:37,USD,RCPT000168,28.836917458521746,2.88,25.96,Credit Card,28.836917458521746,3316
169,2023-11-15 22:28:24,USD,RCPT000169,72.30554091939126,7.23,65.08,Bitcoin,72.30554091939126,5023
170,2023-10-10 13:15:58,USD,RCPT000170,104.95513516580331,10.5,94.46,Bitcoin,104.95513516580331,3538
171,2023-10-24 15:41:00,USD,RCPT000171,120.21487599179108,12.02,108.19,Paypal,120.21487599179108,4446
172,2023-12-12 07:54:43,USD,RCPT000172,22.808750293345803,2.28,20.53,Bitcoin,22.808750293345803,1292
173,2024-01-30 01:25:19,USD,RCPT000173,31.788884088263643,3.18,28.61,Credit Card,31.788884088263643,515
174,2024-07-18 03:58:46,USD,RCPT000174,20.380065611107916,2.04,18.34,Credit Card,20.380065611107916,2851
175,2023-12-17 05:18:47,USD,RCPT000175,151.13386226740107,15.11,136.02,Credit Card,151.13386226740107,4912
176,2023-09-30 22:27:00,USD,RCPT000176,123.80952013480317,12.38,111.43,Credit Card,123.80952013480317,2862
177,2024-05-10 14:07:33,USD,RCPT000177,140.97655724861463,14.1,126.88,Paypal,140.97655724861463,3710
178,2024-07-17 21:18:19,USD,RCPT000178,188.33976523315135,18.83,169.51,Paypal,188.33976523315135,4570
179,2024-03-05 03:23:49,USD,RCPT000179,34.02633173192807,3.4,30.63,Credit Card,34.02633173192807,2359
180,2024-05-20 05:47:14,USD,RCPT000180,77.60444447878425,7.76,69.84,Paypal,77.60444447878425,3971
181,2024-05-11 07:11:11,USD,RCPT000181,83.13483274881784,8.31,74.82,Credit Card,83.13483274881784,4019
182,2024-03-16 12:50:42,USD,RCPT000182,165.9444947231338,16.59,149.35,Bitcoin,165.9444947231338,256
183,2024-03-26 05:56:43,USD,RCPT000183,123.26051188149887,12.33,110.93,Credit Card,123.26051188149887,3074
184,2024-07-31 03:57:30,USD,RCPT000184,58.410624934053,5.84,52.57,Paypal,58.410624934053,1962
185,2024-08-06 13:05:33,USD,RCPT000185,94.49415028147442,9.45,85.04,Paypal,94.49415028147442,1698
186,2024-09-04 02:07:08,USD,RCPT000186,41.11691031207966,4.11,37.01,Bitcoin,41.11691031207966,121
187,2024-05-07 18:23:41,USD,RCPT000187,129.82659437271298,12.98,116.85,Paypal,129.82659437271298,591
188,2024-08-26 08:11:47,USD,RCPT000188,79.54769296166356,7.95,71.6,Credit Card,79.54769296166356,2862
189,2024-05-14 15:23:59,USD,RCPT000189,96.24243410825115,9.62,86.62,Credit Card,96.24243410825115,1684
190,2023-12-11 17:41:27,USD,RCPT000190,174.7934886079373,17.48,157.31,Paypal,174.7934886079373,4985
191,2024-04-30 10:14:12,USD,RCPT000191,129.57213447172757,12.96,116.61,Paypal,129.57213447172757,753
192,2023-09-21 03:32:53,USD,RCPT000192,75.39048515181977,7.54,67.85,Credit Card,75.39048515181977,3642
193,2024-05-21 05:38:10,USD,RCPT000193,137.64511647936075,13.76,123.89,Bitcoin,137.64511647936075,5209
194,2023-09-10 01:55:05,USD,RCPT000194,29.359449636147417,2.94,26.42,Bitcoin,29.359449636147417,4999
195,2024-06-19 00:35:02,USD,RCPT000195,113.8136344005095,11.38,102.43,Bitcoin,113.8136344005095,2371
196,2024-01-05 10:36:17,USD,RCPT000196,23.663861789083313,2.37,21.29,Bitcoin,23.663861789083313,1693
197,2023-10-02 22:49:54,USD,RCPT000197,87.19372544363497,8.72,78.47,Paypal,87.19372544363497,3566
198,2023-11-11 00:43:07,USD,RCPT000198,115.66241912689907,11.57,104.09,Paypal,115.66241912689907,4371
199,2024-02-17 20:47:28,USD,RCPT000199,40.573175747468746,4.06,36.51,Paypal,40.573175747468746,663
200,2024-07-07 06:30:31,USD,RCPT000200,31.948946769033988,3.19,28.76,Paypal,31.948946769033988,316
201,2023-12-31 09:39:38,USD,RCPT000201,98.57449688973017,9.86,88.71,Bitcoin,98.57449688973017,4552
202,2024-08-12 04:22:09,USD,RCPT000202,29.229453540798687,2.92,26.31,Credit Card,29.229453540798687,3003
203,2023-09-19 10:59:40,USD,RCPT000203,156.15521650802938,15.62,140.54,Bitcoin,156.15521650802938,2505
204,2024-06-13 18:35:15,USD,RCPT000204,147.8231937404481,14.78,133.04,Credit Card,147.8231937404481,1548
205,2024-08-03 17:25:15,USD,RCPT000205,66.11593331720647,6.61,59.51,Bitcoin,66.11593331720647,2767
206,2024-02-28 13:44:47,USD,RCPT000206,66.153823402983,6.62,59.53,Bitcoin,66.153823402983,333
207,2024-08-26 23:32:53,USD,RCPT000207,93.92816439695866,9.39,84.54,Credit Card,93.92816439695866,880
208,2023-10-31 05:21:58,USD,RCPT000208,169.0913667540577,16.91,152.18,Bitcoin,169.0913667540577,4615
209,2024-02-24 05:28:38,USD,RCPT000209,135.2561492900635,13.53,121.73,Bitcoin,135.2561492900635,3680
210,2024-03-06 15:46:40,USD,RCPT000210,117.74867392877762,11.77,105.98,Credit Card,117.74867392877762,742
211,2024-07-25 19:14:29,USD,RCPT000211,72.40598001515718,7.24,65.17,Credit Card,72.40598001515718,4338
212,2023-09-16 07:09:28,USD,RCPT000212,196.74412614620076,19.67,177.07,Paypal,196.74412614620076,3095
213,2023-12-02 22:22:53,USD,RCPT000213,96.30808511376017,9.63,86.68,Bitcoin,96.30808511376017,323
214,2024-08-07 15:46:55,USD,RCPT000214,133.48904000286245,13.35,120.14,Credit Card,133.48904000286245,1051
215,2024-05-19 05:57:46,USD,RCPT000215,64.86937522402502,6.49,58.38,Bitcoin,64.86937522402502,897
216,2023-09-19 02:11:46,USD,RCPT000216,155.5929809220052,15.56,140.03,Credit Card,155.5929809220052,3383
217,2024-02-10 08:45:19,USD,RCPT000217,61.11909065318326,6.11,55.01,Bitcoin,61.11909065318326,4093
218,2024-07-05 21:03:18,USD,RCPT000218,169.24423452518707,16.92,152.32,Bitcoin,169.24423452518707,5156
219,2024-03-04 10:10:34,USD,RCPT000219,55.275933969115265,5.53,49.75,Paypal,55.275933969115265,415
220,2024-03-14 22:33:59,USD,RCPT000220,105.75506752138762,10.58,95.18,Paypal,105.75506752138762,1476
221,2023-12-02 22:04:17,USD,RCPT000221,165.94924834167853,16.59,149.36,Paypal,165.94924834167853,1100
222,2023-11-01 10:32:58,USD,RCPT000222,182.04141641750596,18.2,163.84,Bitcoin,182.04141641750596,2373
223,2023-12-10 22:24:57,USD,RCPT000223,130.86481313946643,13.09,117.77,Credit Card,130.86481313946643,5140
224,2023-10-29 18:35:45,USD,RCPT000224,84.84129057584776,8.48,76.36,Bitcoin,84.84129057584776,307
225,2024-02-29 15:18:29,USD,RCPT000225,40.252325349123744,4.03,36.22,Bitcoin,40.252325349123744,3053
226,2024-03-25 23:29:45,USD,RCPT000226,96.75331030592534,9.68,87.07,Paypal,96.75331030592534,5042
227,2024-05-20 05:45:06,USD,RCPT000227,104.35931744387864,10.44,93.92,Paypal,104.35931744387864,1302
228,2024-07-02 02:09:11,USD,RCPT000228,119.52877207534323,11.95,107.58,Bitcoin,119.52877207534323,3211
229,2024-02-21 11:07:10,USD,RCPT000229,164.5129698458482,16.45,148.06,Bitcoin,164.5129698458482,2213
230,2023-12-11 21:08:05,USD,RCPT000230,21.243111091592954,2.12,19.12,Credit Card,21.243111091592954,2347
231,2024-04-25 06:10:29,USD,RCPT000231,109.82583469186228,10.98,98.85,Bitcoin,109.82583469186228,918
232,2023-12-21 02:41:42,USD,RCPT000232,163.6864284466649,16.37,147.32,Credit Card,163.6864284466649,2923
233,2024-07-21 17:52:22,USD,RCPT000233,29.72996036289961,2.97,26.76,Credit Card,29.72996036289961,695
234,2024-05-08 16:18:12,USD,RCPT000234,80.51759381310555,8.05,72.47,Credit Card,80.51759381310555,2532
235,2024-01-31 11:38:15,USD,RCPT000235,61.81956573733444,6.18,55.64,Bitcoin,61.81956573733444,4469
236,2023-10-13 00:47:44,USD,RCPT000236,134.71058589482334,13.47,121.24,Credit Card,134.71058589482334,3701
237,2023-10-16 02:12:39,USD,RCPT000237,140.39778226517893,14.04,126.36,Credit Card,140.39778226517893,2226
238,2023-11-18 15:27:45,USD,RCPT000238,124.5290835037115,12.45,112.08,Paypal,124.5290835037115,5327
239,2023-10-07 23:24:30,USD,RCPT000239,80.7382080543423,8.07,72.67,Credit Card,80.7382080543423,4173
